Antworte im Chat mit der Kirchenführung	[IN:SEND_MESSAGE [SL:GROUP Kirchenführung ] ]	[IN:SEND_MESSAGE [SL:GROUP Kirchenführung ] ]	messaging	de_XX
Bitte sende die Nachricht an meine Familie	[IN:SEND_MESSAGE [SL:RECIPIENT meine Familie ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:CONTACT_RELATED meine ] [SL:TYPE_RELATION Familie ] ] ] ]	messaging	de_XX
Schreibe Lance und Kenny auf dem Weg	[IN:SEND_MESSAGE [SL:RECIPIENT Lance ] [SL:RECIPIENT Kenny ] [SL:CONTENT_EXACT auf dem Weg ] ]	[IN:SEND_MESSAGE [SL:CONTENT_EXACT auf dem Weg ] [SL:RECIPIENT Lance ] [SL:RECIPIENT Kenny ] ]	messaging	de_XX
Zeig mir meine Nachrichten von Jeannine und Josh	[IN:GET_MESSAGE [SL:RECIPIENT Jeannine ] [SL:RECIPIENT Josh ] ]	[IN:GET_MESSAGE [SL:RECIPIENT Jeannine ] [SL:RECIPIENT Josh ] ]	messaging	de_XX
Zeig Nachrichten von meinen Eltern an	[IN:GET_MESSAGE [SL:SENDER meinen Eltern ] ]	[IN:GET_MESSAGE [SL:SENDER [IN:GET_CONTACT [SL:TYPE_RELATION meinen ] [SL:CONTACT_RELATED Eltern ] ] ] ]	messaging	de_XX
Gib mir meine Textnachrichten von Ted und Steve	[IN:GET_MESSAGE [SL:RECIPIENT Ted ] [SL:RECIPIENT Steve ] ]	[IN:GET_MESSAGE [SL:RECIPIENT Ted ] [SL:RECIPIENT Steve ] ]	messaging	de_XX
Ich brauche dich um Zachary Fletcher zu schreiben	[IN:SEND_MESSAGE [SL:RECIPIENT Zachary Fletcher ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Zachary Fletcher ] ]	messaging	de_XX
Bitte schicke meiner Familie eine Nachricht	[IN:SEND_MESSAGE [SL:RECIPIENT meiner Familie ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:CONTACT_RELATED meiner ] [SL:TYPE_RELATION Familie ] ] ] ]	messaging	de_XX
Hat der Bay Area Jobs Chat mir in der letzten Woche geschrieben	[IN:GET_MESSAGE [SL:GROUP Bay Area Jobs ] [SL:RECIPIENT mir ] [SL:DATE_TIME in der letzten Woche ] ]	[IN:GET_MESSAGE [SL:GROUP Bay Area Jobs ] [SL:RECIPIENT mir ] [SL:DATE_TIME in der letzten Woche ] ]	messaging	de_XX
Ich würde gerne Josh Wu und Jordan schreiben	[IN:SEND_MESSAGE [SL:RECIPIENT Josh Wu ] [SL:RECIPIENT Jordan ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Josh Wu ] [SL:RECIPIENT Jordan ] ]	messaging	de_XX
Hole meine Textnachrichten von Daniel, Steve und Kevin Gershwin	[IN:GET_MESSAGE [SL:RECIPIENT Daniel ] [SL:RECIPIENT Steve ] [SL:RECIPIENT Kevin Gershwin ] ]	[IN:GET_MESSAGE [SL:RECIPIENT Daniel ] [SL:RECIPIENT Steve ] [SL:RECIPIENT Kevin Gershwin ] ]	messaging	de_XX
Hat der Laufkurs Chat mir etwas geschickt	[IN:GET_MESSAGE [SL:GROUP Laufkurs ] [SL:RECIPIENT mir ] ]	[IN:GET_MESSAGE [SL:GROUP Laufkurs ] [SL:RECIPIENT mir ] ]	messaging	de_XX
Schreib Robert und Gina, dass ich mich später bei ihnen melde	[IN:SEND_MESSAGE [SL:RECIPIENT Robert ] [SL:RECIPIENT Gina ] [SL:CONTENT_EXACT später bei ihnen melde ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Robert ] [SL:RECIPIENT Gina ] [SL:CONTENT_EXACT später bei ihnen melde ] ]	messaging	de_XX
Bitte schreibe den Eltern im Chat alles Gute zum Geburtstag	[IN:SEND_MESSAGE [SL:RECIPIENT Eltern ] [SL:CONTENT_EXACT alles Gute zum Geburtstag ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:TYPE_RELATION Eltern ] ] ] [SL:CONTENT_EXACT alles Gute zum Geburtstag ] ]	messaging	de_XX
Kannst du dieses Video in die Spielverabredungs-Gruppe schicken	[IN:SEND_MESSAGE [SL:TYPE_CONTENT Video ] [SL:GROUP Spielverabredungs - ] ]	[IN:SEND_MESSAGE [SL:TYPE_CONTENT Video ] [SL:GROUP Spielverabredungs - ] ]	messaging	de_XX
Ich würde gerne eine Videonachricht an meine Familie schicken	[IN:SEND_MESSAGE [SL:RECIPIENT meine Familie ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:CONTACT_RELATED meine ] [SL:TYPE_RELATION Familie ] ] ] ]	messaging	de_XX
Bitte sende Adnan und Steve eine Nachricht	[IN:SEND_MESSAGE [SL:RECIPIENT Adnan ] [SL:RECIPIENT Steve ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Adnan ] [SL:RECIPIENT Steve ] ]	messaging	de_XX
Schicke bitte Audrey und Vlad eine Nachricht	[IN:SEND_MESSAGE [SL:RECIPIENT Audrey ] [SL:RECIPIENT Vlad ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Audrey ] [SL:RECIPIENT Vlad ] ]	messaging	de_XX
Ich möchte die Nachricht gerne an meine Eltern schicken	[IN:SEND_MESSAGE [SL:RECIPIENT meine Eltern ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:CONTACT_RELATED meine ] [SL:TYPE_RELATION Eltern ] ] ] ]	messaging	de_XX
Würdest du Bill Murray und Max schreiben	[IN:SEND_MESSAGE [SL:RECIPIENT Bill Murray ] [SL:RECIPIENT Max ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Bill Murray ] [SL:RECIPIENT Max ] ]	messaging	de_XX
Ich möchte, dass du Kayla schreibst	[IN:SEND_MESSAGE [SL:RECIPIENT Kayla ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Kayla ] ]	messaging	de_XX
Gib mir meine Textnachrichten von AJ und Alex	[IN:GET_MESSAGE [SL:RECIPIENT AJ ] [SL:RECIPIENT Alex ] ]	[IN:GET_MESSAGE [SL:RECIPIENT AJ ] [SL:RECIPIENT Alex ] ]	messaging	de_XX
Ich möchte, dass du Steve schreibst	[IN:SEND_MESSAGE [SL:RECIPIENT Steve ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Steve ] ]	messaging	de_XX
Welche Nachrichten sind von Leon	[IN:GET_MESSAGE [SL:SENDER Leon ] ]	[IN:GET_MESSAGE [SL:SENDER Leon ] ]	messaging	de_XX
Lass mich Nachrichten von meiner Lebensgefährtin Isabella sehen	[IN:GET_MESSAGE [SL:SENDER meiner Lebensgefährtin Isabella ] ]	[IN:GET_MESSAGE [SL:SENDER [IN:GET_CONTACT [SL:CONTACT_RELATED meiner ] [SL:TYPE_RELATION Lebensgefährtin ] [SL:CONTACT Isabella ] ] ] ]	messaging	de_XX
Zeige meine Nachrichten von meinem Freund an	[IN:GET_MESSAGE [SL:RECIPIENT meinem Freund ] ]	[IN:GET_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:CONTACT_RELATED meinem ] [SL:TYPE_RELATION Freund ] ] ] ]	messaging	de_XX
Sehen wir uns Nachrichten von Valeria an	[IN:GET_MESSAGE [SL:SENDER Valeria ] ]	[IN:GET_MESSAGE [SL:SENDER Valeria ] ]	messaging	de_XX
Gib mir die Nachrichten von meiner Frau Brycen	[IN:GET_MESSAGE [SL:SENDER meiner Frau Brycen ] ]	[IN:GET_MESSAGE [SL:SENDER [IN:GET_CONTACT [SL:CONTACT_RELATED meiner ] [SL:TYPE_RELATION Frau ] [SL:CONTACT Brycen ] ] ] ]	messaging	de_XX
Lass mich die Nachrichten meiner Tante sehen	[IN:GET_MESSAGE [SL:RECIPIENT meiner Tante ] ]	[IN:GET_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:CONTACT_RELATED meiner ] [SL:TYPE_RELATION Tante ] ] ] ]	messaging	de_XX
Zeige mir meine Nachrichten von Kind Ryker	[IN:GET_MESSAGE [SL:SENDER Kind Ryker ] ]	[IN:GET_MESSAGE [SL:SENDER [IN:GET_CONTACT [SL:TYPE_RELATION Kind ] [SL:CONTACT Ryker ] ] ] ]	messaging	de_XX
Lass mich Nachrichten von meiner Schwester Journee sehen	[IN:GET_MESSAGE [SL:SENDER meiner Schwester Journee ] ]	[IN:GET_MESSAGE [SL:SENDER [IN:GET_CONTACT [SL:CONTACT_RELATED meiner ] [SL:TYPE_RELATION Schwester ] [SL:CONTACT Journee ] ] ] ]	messaging	de_XX
Zeige mir meine Nachrichten auf WhatsApp	[IN:GET_MESSAGE [SL:NAME_APP WhatsApp ] ]	[IN:GET_MESSAGE [SL:NAME_APP WhatsApp ] ]	messaging	de_XX
Würdest du einen Text an Stacy per Messenger schicken	[IN:SEND_MESSAGE [SL:RECIPIENT Stacy ] [SL:NAME_APP Messenger ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Stacy ] [SL:NAME_APP Messenger ] ]	messaging	de_XX
Schicke diesen Messenger-Text	[IN:SEND_MESSAGE [SL:NAME_APP Messenger ] ]	[IN:SEND_MESSAGE [SL:NAME_APP Messenger ] ]	messaging	de_XX
Ich würde Jimmy gerne diese WhatsApp-Nachricht schicken	[IN:SEND_MESSAGE [SL:CONTACT Jimmy ] [SL:NAME_APP WhatsApp ] ]	[IN:SEND_MESSAGE [SL:CONTACT Jimmy ] [SL:NAME_APP WhatsApp ] ]	messaging	de_XX
Wer hat mir auf Facebook geschrieben	[IN:GET_MESSAGE_CONTACT [SL:RECIPIENT mir ] [SL:NAME_APP Facebook ] ]	[IN:GET_MESSAGE_CONTACT [SL:RECIPIENT mir ] [SL:NAME_APP Facebook ] ]	messaging	de_XX
Schreibe Ben über dne Messenger, dass das gut klingt	[IN:SEND_MESSAGE [SL:RECIPIENT Ben ] [SL:NAME_APP Messenger ] [SL:CONTENT_EXACT gut klingt ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Ben ] [SL:NAME_APP Messenger ] [SL:CONTENT_EXACT gut klingt ] ]	messaging	de_XX
Zeige mir die Texte von Janice auf Facebook	[IN:GET_MESSAGE [SL:RECIPIENT Janice ] [SL:NAME_APP Facebook ] ]	[IN:GET_MESSAGE [SL:RECIPIENT Janice ] [SL:NAME_APP Facebook ] ]	messaging	de_XX
Ich möchte den WhatsApp-Text schicken	[IN:SEND_MESSAGE [SL:NAME_APP WhatsApp ] ]	[IN:SEND_MESSAGE [SL:NAME_APP WhatsApp ] ]	messaging	de_XX
Zeige mir Nachrichten von Em auf Whatsapp	[IN:GET_MESSAGE [SL:RECIPIENT Em ] [SL:NAME_APP Whatsapp ] ]	[IN:GET_MESSAGE [SL:RECIPIENT Em ] [SL:NAME_APP Whatsapp ] ]	messaging	de_XX
Lies meine Messenger-Nachrichten	[IN:GET_MESSAGE [SL:NAME_APP Messenger ] ]	[IN:GET_MESSAGE [SL:NAME_APP Messenger ] ]	messaging	de_XX
Hat Lauren mir irgendwas per Messenger geschickt	[IN:GET_MESSAGE [SL:SENDER Lauren ] [SL:RECIPIENT mir ] [SL:NAME_APP Messenger ] ]	[IN:GET_MESSAGE [SL:SENDER Lauren ] [SL:RECIPIENT mir ] [SL:NAME_APP Messenger ] ]	messaging	de_XX
Zeig mir Nachrichten von Patrick über WhatsApp	[IN:GET_MESSAGE [SL:RECIPIENT Patrick ] [SL:NAME_APP WhatsApp ] ]	[IN:GET_MESSAGE [SL:RECIPIENT Patrick ] [SL:NAME_APP WhatsApp ] ]	messaging	de_XX
Kannst du Fox & Friends Live Nachrichten zeigen	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE Fox & Friends ] [SL:NEWS_TYPE Live ] ]	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE Fox & Friends ] [SL:NEWS_TYPE Live ] ]	news	de_XX
Kannst du die Nachrichten auf Kanal 9 live zeigen	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE Nachrichten auf Kanal 9 ] [SL:NEWS_TYPE live ] ]	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE Nachrichten auf Kanal 9 ] [SL:NEWS_TYPE live ] ]	news	de_XX
Folge Bon Iver	[IN:FOLLOW_MUSIC [SL:MUSIC_ARTIST_NAME Bon Iver ] ]	[IN:FOLLOW_MUSIC [SL:MUSIC_ARTIST_NAME Bon Iver ] ]	music	de_XX
